day,sample_id,group,ndvi_mean,soil_moisture_a0_pct,delta_t_celsius,visual_wilting_observed
2,Control_06,Control,0.7661,80.72,-2.17,False
2,Control_07,Control,0.7639,75.81,-2.58,False
2,Control_08,Control,0.7596,76.15,-1.71,False
2,Control_09,Control,0.7571,76.75,-2.21,False
2,Control_10,Control,0.7425,78.86,-2.05,False
2,Drought_01,Drought,0.7719,61.68,-1.05,False
2,Drought_02,Drought,0.739,64.67,-0.85,False
2,Drought_03,Drought,0.7451,62.37,-1.38,False
2,Drought_04,Drought,0.7524,60.4,-1.38,False
2,Drought_05,Drought,0.7441,64.45,-1.63,False
2,Drought_06,Drought,0.7832,61.93,-1.48,False
2,Drought_07,Drought,0.7722,61.04,-1.34,False
2,Drought_08,Drought,0.7796,60.29,-1.35,False
2,Drought_09,Drought,0.7639,65.06,-1.71,False
2,Drought_10,Drought,0.7402,64.54,-1.33,False
2,Salinity_01,Salinity,0.7538,78.69,-1.52,False
2,Salinity_02,Salinity,0.7535,78.59,-1.53,False
2,Salinity_03,Salinity,0.778,78.95,-1.65,False
2,Salinity_04,Salinity,0.7598,76.05,-1.15,False
2,Salinity_05,Salinity,0.7674,76.36,-1.11,False
2,Salinity_06,Salinity,0.7562,79.64,-0.88,False
2,Salinity_07,Salinity,0.7463,76.49,-1.57,False
2,Salinity_08,Salinity,0.7378,77.85,-1.26,False
2,Salinity_09,Salinity,0.7542,79.65,-1.35,False
2,Salinity_10,Salinity,0.7718,77.47,-0.67,False
3,Control_01,Control,0.7694,73.86,-2.41,False
3,Control_02,Control,0.7672,75.44,-2.06,False
3,Control_03,Control,0.7671,75.82,-2.37,False
3,Control_04,Control,0.7373,74.88,-2.03,False
3,Control_05,Control,0.7632,72.89,-2.17,False
3,Control_06,Control,0.7658,73.79,-2.17,False
3,Control_07,Control,0.7609,73.14,-2.13,False
3,Control_08,Control,0.7684,78.71,-1.99,False
3,Control_09,Control,0.7393,73.66,-2.1,False
3,Control_10,Control,0.7677,77.29,-1.43,False
3,Drought_01,Drought,0.7261,54.27,-0.46,False
3,Drought_02,Drought,0.7273,51.37,-0.51,False
3,Drought_03,Drought,0.7059,51.53,-0.82,False
3,Drought_04,Drought,0.7187,56.63,-1.17,False
3,Drought_05,Drought,0.7278,48.77,-0.82,False
3,Drought_06,Drought,0.7338,52.13,-0.97,False
3,Drought_07,Drought,0.7068,53.36,-0.88,False
3,Drought_08,Drought,0.7207,52.09,-0.86,False
3,Drought_09,Drought,0.7497,53.27,-1.21,False
3,Drought_10,Drought,0.7203,50.68,-0.49,False
3,Salinity_01,Salinity,0.7231,77.77,-0.57,False
3,Salinity_02,Salinity,0.748,75.6,-0.78,False
3,Salinity_03,Salinity,0.7279,76.69,-0.26,False
3,Salinity_04,Salinity,0.7411,75.48,-0.47,False
3,Salinity_05,Salinity,0.7668,80.06,-1.08,False
3,Salinity_06,Salinity,0.7277,80.53,-0.88,False
3,Salinity_07,Salinity,0.7417,79.55,-0.93,False
3,Salinity_08,Salinity,0.7341,71.52,-0.96,False
3,Salinity_09,Salinity,0.7312,75.5,-0.29,False
3,Salinity_10,Salinity,0.7135,77.12,-0.67,False
4,Control_01,Control,0.7816,72.41,-1.97,False
4,Control_02,Control,0.7602,73.55,-2.11,False
4,Control_03,Control,0.763,74.5,-2.19,False
4,Control_04,Control,0.7542,76.28,-2.07,False
4,Control_05,Control,0.7838,72.91,-1.77,False
4,Control_06,Control,0.7307,75.62,-2.08,False
4,Control_07,Control,0.7642,74.44,-2.24,False
4,Control_08,Control,0.7526,74.53,-2.03,False
4,Control_09,Control,0.7654,74.27,-2.02,False
4,Control_10,Control,0.7646,78.03,-2.07,False
4,Drought_01,Drought,0.6201,39.38,0.19,False
4,Drought_02,Drought,0.6417,40.46,0.03,False
4,Drought_03,Drought,0.6517,39.32,0.14,False
4,Drought_04,Drought,0.6295,40.06,0.27,False
4,Drought_05,Drought,0.6449,42.13,0.33,False
4,Drought_06,Drought,0.6328,41.86,-0.08,False
4,Drought_07,Drought,0.6374,40.24,0.02,False
4,Drought_08,Drought,0.6414,38.86,0.52,False
4,Drought_09,Drought,0.6174,38.07,0.29,False
4,Drought_10,Drought,0.6444,41.75,0.16,False
4,Salinity_01,Salinity,0.6598,76.21,-0.03,False
4,Salinity_02,Salinity,0.6498,79.95,-0.09,False
4,Salinity_03,Salinity,0.6476,77.36,0.05,False
4,Salinity_04,Salinity,0.6515,76.36,0.01,False
4,Salinity_05,Salinity,0.6637,76.99,-0.17,False
4,Salinity_06,Salinity,0.6635,75.1,-0.4,False
4,Salinity_07,Salinity,0.6492,77.57,0.03,False
4,Salinity_08,Salinity,0.6821,79.72,-0.09,False
4,Salinity_09,Salinity,0.6597,75.99,-0.05,False
4,Salinity_10,Salinity,0.6557,78.65,-0.26,False
5,Control_01,Control,0.7678,79.83,-2.22,False
5,Control_02,Control,0.766,77.73,-2.28,False
5,Control_03,Control,0.7634,76.03,-2.18,False
5,Control_04,Control,0.7484,76.06,-2.1,False
5,Control_05,Control,0.7818,78.4,-1.77,False
5,Control_06,Control,0.7485,78.18,-2.16,False
5,Control_07,Control,0.7928,73.98,-2.37,False
5,Control_08,Control,0.751,70.69,-2.31,False
5,Control_09,Control,0.7486,76.38,-2.13,False
5,Control_10,Control,0.7881,78.38,-2.32,False
5,Drought_01,Drought,0.534,29.98,0.37,True
5,Drought_02,Drought,0.575,31.36,0.58,True
5,Drought_03,Drought,0.5218,31.71,0.67,True
5,Drought_04,Drought,0.5661,25.81,0.55,True
5,Drought_05,Drought,0.5476,29.09,0.59,True
5,Drought_06,Drought,0.5568,26.86,0.66,True
5,Drought_07,Drought,0.5493,30.03,0.88,True
5,Drought_08,Drought,0.5306,25.93,1.02,True
5,Drought_09,Drought,0.5525,27.5,1.09,True
5,Drought_10,Drought,0.5492,31.36,0.72,True
5,Salinity_01,Salinity,0.6159,81.51,0.54,False
5,Salinity_02,Salinity,0.5996,79.29,0.94,False
5,Salinity_03,Salinity,0.5705,79.37,0.86,False
5,Salinity_04,Salinity,0.5586,75.63,0.09,False
5,Salinity_05,Salinity,0.581,79.44,0.98,False
5,Salinity_06,Salinity,0.5861,81.26,0.25,False
5,Salinity_07,Salinity,0.5594,77.89,0.7,False
5,Salinity_08,Salinity,0.5845,73.87,0.58,False
5,Salinity_09,Salinity,0.5654,79.34,0.69,False
5,Salinity_10,Salinity,0.5709,76.97,0.34,False
6,Control_01,Control,0.7591,78.39,-2.4,False
6,Control_02,Control,0.7676,74.67,-2.36,False
6,Control_03,Control,0.7584,73.41,-2.31,False
6,Control_04,Control,0.742,80.91,-2.19,False
6,Control_05,Control,0.7495,76.53,-2.22,False
6,Control_06,Control,0.7567,77.54,-2.05,False
6,Control_07,Control,0.752,74.56,-2.26,False
6,Control_08,Control,0.7255,72.21,-1.93,False
6,Control_09,Control,0.7847,75.38,-2.08,False
6,Control_10,Control,0.7647,83.7,-1.98,False
6,Drought_01,Drought,0.4606,15.59,1.0,True
6,Drought_02,Drought,0.4656,15.99,1.04,True
6,Drought_03,Drought,0.4528,15.34,1.8,True
6,Drought_04,Drought,0.4757,17.48,1.77,True
6,Drought_05,Drought,0.4637,15.78,1.78,True
6,Drought_06,Drought,0.4706,15.43,1.35,True
6,Drought_07,Drought,0.4494,14.73,1.63,True
6,Drought_08,Drought,0.4911,14.7,1.54,True
6,Drought_09,Drought,0.4527,16.53,1.25,True
6,Drought_10,Drought,0.4495,17.6,1.19,True
6,Salinity_01,Salinity,0.5141,77.9,1.19,True
6,Salinity_02,Salinity,0.4964,76.85,1.44,True
6,Salinity_03,Salinity,0.5175,76.04,1.27,True
6,Salinity_04,Salinity,0.5213,74.66,1.39,True
6,Salinity_05,Salinity,0.5001,79.14,1.06,True
6,Salinity_06,Salinity,0.4829,74.74,1.26,True
6,Salinity_07,Salinity,0.5139,76.19,1.41,True
6,Salinity_08,Salinity,0.4851,77.87,0.95,True
6,Salinity_09,Salinity,0.5002,78.09,1.03,True
6,Salinity_10,Salinity,0.5042,80.01,1.11,True
7,Control_01,Control,0.7725,73.18,-2.09,False
7,Control_02,Control,0.7816,69.82,-2.36,False
7,Control_03,Control,0.7687,75.49,-2.13,False
7,Control_04,Control,0.7509,76.22,-2.23,False
7,Control_05,Control,0.7775,76.64,-2.13,False
7,Control_06,Control,0.7538,74.78,-2.29,False
7,Control_07,Control,0.7659,74.95,-2.14,False
7,Control_08,Control,0.7911,78.18,-2.27,False
7,Control_09,Control,0.778,74.98,-2.61,False
7,Control_10,Control,0.7449,71.32,-2.27,False
7,Drought_01,Drought,0.3778,9.35,1.8,True
7,Drought_02,Drought,0.3742,7.66,1.55,True
7,Drought_03,Drought,0.381,7.54,1.73,True
7,Drought_04,Drought,0.3947,6.68,1.8,True
7,Drought_05,Drought,0.387,10.54,1.8,True
7,Drought_06,Drought,0.3812,5.08,1.8,True
7,Drought_07,Drought,0.39,5.0,1.8,True
7,Drought_08,Drought,0.3703,6.96,1.8,True
7,Drought_09,Drought,0.3931,5.0,1.8,True
7,Drought_10,Drought,0.3628,5.11,1.8,True
7,Salinity_01,Salinity,0.4464,76.16,1.5,True
7,Salinity_02,Salinity,0.4553,78.83,1.5,True
7,Salinity_03,Salinity,0.4234,75.51,1.46,True
7,Salinity_04,Salinity,0.4574,79.31,1.5,True
7,Salinity_05,Salinity,0.4392,75.75,1.5,True
7,Salinity_06,Salinity,0.4369,78.22,1.5,True
7,Salinity_07,Salinity,0.4422,78.45,1.5,True
7,Salinity_08,Salinity,0.4421,81.76,1.5,True
7,Salinity_09,Salinity,0.4589,76.98,1.5,True
7,Salinity_10,Salinity,0.4331,78.11,1.5,True
20260919_114808,test_sample_01,Drought,55.17,1.95,20.69,2.45,0,0.0,0.0,0.0,0.0,0.0,0.0,1.054,20260919_114808_Drought_test_sample_01_ndvi_heatmap.png
20260919_140125,test_pi_01,Control,55.17,1.95,20.69,2.45,0,0.0,0.0,0.0,0.0,0.0,0.0,1.054,20260919_140125_Control_test_pi_01_ndvi_heatmap.png
